OTUId	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S4	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S5	S60	S61	S62	S6	S7	S8	S9
OTU_58	141	163	9	49	0	98	1	4	0	32	1	0	94	0	0	0	0	0	0	1	3	0	33	0	31	0	0	2	909	1	3	0	0	7	1	26	39	433	8	0	3	1	0	0	3	0	67	61	30	0	0	2746	11	2	226	4	23	20	1	0	0	2
OTU_531	474	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	36	6	0	0	0	17	2	0	0	0
OTU_5438	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	11	47	0	0	22	0	0	3	51	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	1	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_496	43	1	16	4	0	14	12	0	0	13	11	0	1	0	0	12	0	0	19	6	0	1	3	0	14	0	21	0	10	0	2	5	7	0	0	0	0	0	0	0	6	3	0	40	0	0	0	0	60	0	0	31	0	20	20	0	0	0	34	0	0	17
OTU_1730	540	660	1453	25	9	366	67	406	250	308	1010	27	10	312	89	483	132	581	193	26	0	754	168	9	251	168	0	4	1265	143	75	18	295	0	0	35	143	276	9	0	0	7	0	25	3	9	22	4	1	101	2	440	1	0	1596	0	0	28	710	1	234	84
OTU_61	545	172	282	85	76	547	156	23	30	151	34	62	70	24	17	46	106	24	88	52	25	8	135	63	113	182	115	6	436	5	107	111	83	7	0	75	73	144	81	8	76	130	0	875	9	9	88	151	383	39	0	161	36	508	133	5	19	49	422	0	44	45
OTU_429	400	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6631	8	30	1	12	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0
OTU_339	295	0	4	0	0	132	43	0	0	5	194	9	0	0	8	20	66	11	3	16	16	0	45	16	38	34	173	0	3	0	70	3	3	1	25	0	0	0	3	0	44	0	0	321	3	68	11	97	132	0	0	215	0	7	13	0	0	0	227	0	0	0
OTU_176	524	152	53	17	3	315	172	33	81	322	46	32	6	56	3	65	39	23	54	35	64	8	199	73	211	41	251	35	270	36	45	31	46	110	20	65	43	91	82	27	41	10	0	235	96	46	356	826	700	103	0	414	1	44	441	0	0	4	250	0	8	7
