OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9
N,43.7417991581889,38.4135986678318,27.8084187695849,31.9872136974092,32.1749846822258,46.4832524152812,42.0732406105121,28.7139794737541,38.7956421452715,37.8196287119649,53.4214066538688,45.8555870222188,23.9540094134811,39.2090812606709,27.6941009067377,45.0300185326986,46.1129327148275,47.1726231166772,37.9248685893977,36.4934238920564,26.4657262508265,49.4984954864594,28.475414771479,34.0913416656848,39.872745449244,39.0720540789676,25.7654516299142,32.4403708684266,20.6211227989057,29.6536969329267,33.9465653708001,20.7295093991659,55.5307031881764,23.9938753129591,30.9873293477291,41.1424322000418,42.4999142455322,37.6176306940513,31.891633296715,14.8357596649668,17.1981489272192,45.057046758557,29.1849215041986,39.7131220466992,24.5303390196502,38.957064509287,27.0354977175172,36.9258614213025,33.7674658137612,48.0426408671504,17.1456047064148,34.8774429701288,25.6911092216835,37.1150964373761,37.9936631732878,10.7685442092396,19.6042136438596,18.3383012873006,40.7012590568235,15.5745345526919,48.4095179500823,43.644251626898
OTU_1,4.24824906702111,3.25622805137421,3.87606698290831,0.35156830273387,0.899571102322732,4.34603501544799,6.92504037089128,0.102441522963975,0.358318947383691,4.6417107077907,2.05722750427014,1.22213141238857,0.722510724768571,2.77098426468552,0.573712175110882,2.69445461708337,3.16253909732401,2.29826912034125,2.3230003237094,6.08091225041456,3.1532400264492,0.45135406218656,8.45735115826817,7.42479584530467,4.32686299829216,5.12828391457981,7.55389102336444,2.82044022931559,2.89523369167341,0.712084683792889,4.68387424902254,5.63426032650837,3.49787512258908,0.355893976701359,0.533148924779156,0.162673421486835,0.531677700408191,0.366499745990275,2.9288777065098,0.162388535939147,2.17360818959473,0.771615115742267,0.107247170500183,8.04385219162103,1.74332397610307,1.05141956791807,1.82257954622879,1.24850595908889,6.0051228536192,1.75132132939174,0,5.92064840839271,0.126387388836547,4.9064629960845,1.58908116012674,0.00388055647179806,0.0033655302392892,0.0163778702217564,5.49532755385831,0.186430856826141,0.138013601822445,1.80404916847433
OTU_10,0.369783412572636,0,0.533574617283293,0.567240876554961,4.06338773464045,0.00784659898975038,0.00833463562014898,0,0,0,0.00302311168886134,0.0285100640526106,0,0.00115361543076,0.00756876220462905,0.0332922728634684,0.145056738338798,0.00410161056574882,0.00308294668043716,0,0,0,0.000813676270758916,0,0,0,0,0,0,0.0015966024300289,0,0,0.025808227662979,0,0,0.0023239060212405,0.00686035742462182,0.0229818322568159,0,0,0,0.149047022357053,0.0296641109894122,0.0207596037881334,0,0,0,0,0,0,0,0.0222236747499837,0,0,0.002924689251767,0,0,0,0.126689953486689,0,0,0.0741142443962401
OTU_100,0.284579861288619,0.00164872306398694,0,0.537530879140831,0.385729404556342,0.00392329949487519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271904144725513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184660027699004,0.239594742606791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110974242878228,0,0,0,0.0102219294459714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173213935551343,0,0,0,0,0,0,0.00120657098558751,0,0,0
OTU_1001,0,0.0164872306398694,0,0,0,0,0,0,0,0,0,0,0.00173680462684753,0.00346084629228001,0,0,0,0.00273440704383254,0,0.017036549076619,0.00826537359488649,0,0,0.0570998703923577,0,0.00921800583807036,0,0,0,0.0015966024300289,0.0071521663117073,0,0,0,0,0,0,0.00120957011877979,0,0,0,0,0,0,0,0,0.00340669074061457,0,0,0,0,0.0366036995882084,0,0,0.000974896417255666,0,0,0,0,0,0,0
OTU_1002,0,0,0,0.000550185137298701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137207148492436,0,0,0,0,0,0,0,0.073418268192615,0.633275762809442,0.0136267629624583,0.0392719325205751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1003,0.0707189475657345,0.00659489225594777,0.00399183005448848,0.0154051838443636,0.00139252492619618,0.067676916286597,0.071886232223785,0,0,0.0207491669819726,0.00453466753329202,0,0,0,0,0,0.00151100769102915,0,0,0.00454307975376508,0,0,0.00162735254151783,0,0.00312408880743117,0,0.00968585542246473,0,0.0100181096597696,0,0,0.00104784458369135,0,0,0,0,0.00343017871231091,0.0084669908314585,0,0,0.0140232786425466,0.00131900019785003,0,0,0,0,0,0,0.00451750760070654,0.00223954134193317,0,0.016994574808811,0,0,0.00682427492078967,0,0,0,0.00603285492793755,0,0,0.00180766449746927
OTU_1004,0,0.00329744612797388,0,0,0,0.00980824873718798,0,0.0170735871606625,0.272728591530907,0.00488215693693474,0.0166271142887374,0,0,0.00461446172304001,0,0,0,0,0,0,0,0.00278613618633679,0.000813676270758916,0.000906347149085043,0.00208272587162078,0,0.00215241231610327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779917133804533,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227153987688254,0.00137756226581441,0,0,0,0,0,0,0,0,0,0.0802631997202708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
