OTUId,S17
OTU_1,0.102441523
OTU_14,3.752395045
OTU_2,7.212642043
OTU_15,0
OTU_51,3.188966669
OTU_42,0
OTU_680,24.52336236
OTU_213,0.017073587
OTU_877,10.08859295
OTU_23,0
OTU_4,0.077779675
OTU_153,0
OTU_49,0
OTU_83,0
OTU_16,0.053117827
OTU_6,0.500825223
OTU_8,0.013279457
OTU_3,0.001897065
OTU_21,0.024661848
OTU_2669,0.157456415
OTU_70,0.03604424
OTU_64,0
OTU_243,0
OTU_71,0.240927285
OTU_220,0.339574678
OTU_418,0.022764783
OTU_113,0.489442832
OTU_26,0
OTU_11,0
OTU_1730,0.770208487
OTU_7,0.15935348
OTU_1220,0.15555935
OTU_5,0.100544458
OTU_87,0.009485326
OTU_18,0.030353044
OTU_8232,0.073985544
OTU_160,0.00379413
OTU_12,0
OTU_388,0.03604424
OTU_222,0.030353044
OTU_13,0.288353916
OTU_17,0.51031055
OTU_138,0.098647392
OTU_2608,1.367784038
OTU_34,0
OTU_653,0.068294349
OTU_60,0
OTU_118,0
OTU_586,0.001897065
OTU_133,0
OTU_171,0.022764783
OTU_28,0.001897065
OTU_104,0.013279457
OTU_33,0
OTU_136,0.068294349
OTU_126,0.149868154
OTU_163,0.130897502
OTU_61,0.043632501
OTU_29,0
OTU_89,0
OTU_82,0.037941305
OTU_484,0.072088479
OTU_31,0.237133155
OTU_2627,0
OTU_286,0.00379413
OTU_68,0.506516419
OTU_437,0
OTU_258,0.045529566
OTU_119,0
OTU_69,0
OTU_48,0
OTU_22,0
OTU_20,0
OTU_43,0
OTU_9,0
OTU_6430,0.396486635
OTU_27,0.009485326
OTU_184,0.223853698
OTU_24,0
OTU_41,0.026558913
OTU_176,0.062603153
OTU_78,0.001897065
OTU_237,0.276971525
OTU_50,0.009485326
OTU_56,0
OTU_248,0
OTU_142,0.011382391
OTU_2348,0.001897065
OTU_494,0
OTU_62,0.11951511
OTU_334,0.104338588
OTU_283,0
OTU_39,0
OTU_187,0.001897065
OTU_114,0.001897065
OTU_135,0.244721416
OTU_117,0
OTU_134,0
OTU_46,0.113823914
OTU_10,0
OTU_115,0
OTU_108,0.001897065
OTU_94,0
OTU_101,0
OTU_227,0.015176522
OTU_5011,0.018970652
OTU_5505,0.087265001
OTU_820,0.013279457
OTU_59,0.001897065
OTU_951,0
OTU_139,0
OTU_5926,0
OTU_53,0
OTU_1032,0.009485326
OTU_63,0.104338588
OTU_127,0
OTU_95,0.00379413
OTU_80,0
OTU_86,0
OTU_35,0
OTU_74,0.00379413
OTU_269,0.007588261
OTU_121,0
OTU_5866,0.017073587
OTU_328,0.15935348
OTU_19,0
OTU_3264,0.024661848
OTU_65,0.009485326
OTU_551,0
OTU_1081,0
OTU_190,0.015176522
OTU_106,0
OTU_539,0
OTU_1588,0
OTU_25,0
OTU_37,0
OTU_449,0.037941305
OTU_573,0
OTU_473,0.299736308
OTU_128,0.00379413
OTU_122,0
OTU_30,0
OTU_207,0
OTU_829,0
OTU_148,0
OTU_58,0.007588261
OTU_75,0.001897065
OTU_1273,0.049323696
OTU_6672,0
OTU_66,0
OTU_1116,0.013279457
OTU_224,0.03604424
OTU_45,0
OTU_152,0
OTU_5141,0
OTU_306,0
OTU_225,0
OTU_592,0
OTU_1959,0.056911957
OTU_73,0
OTU_3750,0
OTU_188,0
OTU_604,0
OTU_1303,0
OTU_1012,0.037941305
OTU_88,0
OTU_102,0
OTU_67,0
OTU_1655,0.017073587
OTU_5742,0.007588261
OTU_112,0
OTU_3236,0
OTU_690,0
OTU_1340,0
OTU_5326,0
OTU_32,0
OTU_1042,0.113823914
OTU_214,0.001897065
OTU_2805,0.007588261
OTU_110,0
OTU_40,0
OTU_77,0
OTU_263,0.011382391
OTU_836,0
OTU_229,0.001897065
OTU_279,0
OTU_425,0
OTU_6122,0
OTU_97,0
OTU_5175,0
OTU_483,0.001897065
OTU_451,0
OTU_769,0
OTU_172,0
OTU_398,0
OTU_8478,0.07588261
OTU_336,0
OTU_290,0
OTU_363,0.081573805
OTU_249,0.005691196
OTU_471,0
OTU_55,0
OTU_1218,0
OTU_107,0.030353044
OTU_216,0
OTU_860,0.03604424
OTU_303,0
OTU_76,0
OTU_477,0.138485763
OTU_6208,1.060459469
OTU_635,0
