OTUId,Sum
OTU_1,159.6002999
OTU_14,123.0835202
OTU_2,99.03406673
OTU_15,65.61329554
OTU_51,61.72259372
OTU_42,57.43680044
OTU_680,55.09645038
OTU_213,35.05377964
OTU_877,32.02832192
OTU_23,27.95693113
OTU_4,26.77934608
OTU_153,26.57624252
OTU_49,26.08817528
OTU_83,24.95634557
OTU_16,24.77375696
OTU_6,24.53977957
OTU_8,24.07511868
OTU_3,24.03421778
OTU_21,23.32821326
OTU_2669,22.20449208
OTU_70,22.07746646
OTU_64,20.34651656
OTU_243,20.21392483
OTU_71,19.34146373
OTU_220,19.1066514
OTU_418,18.9869716
OTU_113,18.14267623
OTU_26,17.52906317
OTU_11,17.4814814
OTU_1730,17.36773167
OTU_7,17.13184927
OTU_1220,16.4767007
OTU_5,15.89122142
OTU_87,15.82012983
OTU_18,15.5628663
OTU_8232,15.49776989
OTU_160,15.42498854
OTU_12,15.38135485
OTU_388,15.22997257
OTU_222,14.89024615
OTU_13,14.68280972
OTU_17,14.60717337
OTU_138,14.59961511
OTU_2608,14.00561587
OTU_34,13.62414494
OTU_653,12.75358955
OTU_60,12.50953917
OTU_118,12.26081507
OTU_586,11.79856331
OTU_133,11.47179643
OTU_171,11.29221711
OTU_28,10.90394262
OTU_104,10.67548995
OTU_33,10.65409009
OTU_136,10.60580434
OTU_126,10.58897309
OTU_163,10.45449365
OTU_61,10.32939415
OTU_29,10.0435045
OTU_89,9.594915101
OTU_82,9.586378777
OTU_484,9.495378743
OTU_31,9.486243383
OTU_2627,9.428831391
OTU_286,9.364819788
OTU_68,9.362544172
OTU_437,9.299694333
OTU_258,9.250554313
OTU_119,9.093783677
OTU_69,8.987102018
OTU_48,8.895309239
OTU_22,8.837247009
OTU_20,8.61057659
OTU_43,8.328933652
OTU_9,8.142691093
OTU_6430,8.029382111
OTU_27,7.877122505
OTU_184,7.798449722
OTU_24,7.795313852
OTU_41,7.79495516
OTU_176,7.784442251
OTU_78,7.739043359
OTU_237,7.690812291
OTU_50,7.556604456
OTU_56,7.392746993
OTU_248,7.388499745
OTU_142,7.37042421
OTU_2348,7.170978655
OTU_494,7.093631519
OTU_62,6.952309268
OTU_334,6.835965764
OTU_283,6.682598928
OTU_39,6.667167669
OTU_187,6.659623109
OTU_114,6.493082028
OTU_135,6.451211882
OTU_117,6.392285344
OTU_134,6.299751925
OTU_46,6.295054383
OTU_10,6.261764899
OTU_115,6.162143441
OTU_108,6.090212172
OTU_94,6.001415795
OTU_101,5.920166528
OTU_227,5.780261738
OTU_5011,5.764416388
OTU_5505,5.655289477
OTU_820,5.650329484
OTU_59,5.629987758
OTU_951,5.614604534
OTU_139,5.56433166
OTU_5926,5.537071791
OTU_53,5.527679997
OTU_1032,5.526173544
OTU_63,5.514977806
OTU_127,5.494995659
OTU_95,5.486946235
OTU_80,5.475979731
OTU_86,5.41448374
OTU_35,5.406595749
OTU_74,5.357776203
OTU_269,5.349207397
OTU_121,5.276806053
OTU_5866,5.237219047
OTU_328,5.234715514
OTU_19,5.165949079
OTU_3264,5.089312277
OTU_65,5.051095447
OTU_551,5.02076595
OTU_1081,5.017909942
OTU_190,4.941341748
OTU_106,4.924919458
OTU_539,4.871088967
OTU_1588,4.827640481
OTU_25,4.825313446
OTU_37,4.810498885
OTU_449,4.785860685
OTU_573,4.759232296
OTU_473,4.757861599
OTU_128,4.713056088
OTU_122,4.686764832
OTU_30,4.602646975
OTU_207,4.601838778
OTU_829,4.573431994
OTU_148,4.572613881
OTU_58,4.549287278
OTU_75,4.544340477
OTU_1273,4.458812588
OTU_6672,4.444493277
OTU_66,4.394238013
OTU_1116,4.380207613
OTU_224,4.361015361
OTU_45,4.320987382
OTU_152,4.315007343
OTU_5141,4.258757255
OTU_306,4.246567547
OTU_225,4.222359601
OTU_592,4.206313145
OTU_1959,4.179701958
OTU_73,4.179419671
OTU_3750,4.122538688
OTU_188,4.051583682
OTU_604,4.02523861
OTU_1303,3.977450903
OTU_1012,3.927426058
OTU_88,3.922084862
OTU_102,3.921198616
OTU_67,3.919378221
OTU_1655,3.91786288
OTU_5742,3.915122259
OTU_112,3.903474457
OTU_3236,3.895713865
OTU_690,3.893685303
OTU_1340,3.889332606
OTU_5326,3.874885116
OTU_32,3.852758393
OTU_1042,3.845226593
OTU_214,3.811091333
OTU_2805,3.751779184
OTU_110,3.739009987
OTU_40,3.727716625
OTU_77,3.724877708
OTU_263,3.702740275
OTU_836,3.695390778
OTU_229,3.693413814
OTU_279,3.682932533
OTU_425,3.601336204
OTU_6122,3.554971243
OTU_97,3.552314557
OTU_5175,3.49265241
OTU_483,3.449494885
OTU_451,3.419234145
OTU_769,3.418893755
OTU_172,3.397149063
OTU_398,3.394313586
OTU_8478,3.388143102
OTU_336,3.377630659
OTU_290,3.369035759
OTU_363,3.31706012
OTU_249,3.312285297
OTU_471,3.296540034
OTU_55,3.291753988
OTU_1218,3.2898489
OTU_107,3.285089566
OTU_216,3.282357382
OTU_860,3.243430313
OTU_303,3.237741987
OTU_76,3.229523303
OTU_477,3.217889253
OTU_6208,3.213303139
OTU_635,3.212271653
OTU_331,3.207788486
OTU_1146,3.202404916
OTU_380,3.153402297
OTU_4560,3.14890196
OTU_57,3.116338107
OTU_1321,3.114259141
OTU_838,3.113570825
OTU_504,3.10029889
OTU_808,3.082350652
OTU_92,3.076221674
OTU_758,3.048067926
OTU_257,3.038522639
OTU_767,3.017394891
OTU_209,3.00943592
OTU_96,2.959387146
OTU_54,2.959005143
OTU_2438,2.90653503
OTU_90,2.906329201
OTU_409,2.903910331
OTU_2320,2.895754662
OTU_156,2.891175361
OTU_79,2.890420464
OTU_1125,2.877081601
OTU_1132,2.858030741
OTU_253,2.85495107
OTU_991,2.832455838
OTU_246,2.831923149
OTU_692,2.827350378
OTU_364,2.817392405
OTU_6725,2.810662991
OTU_38,2.805730888
OTU_557,2.797685376
OTU_3371,2.797313891
OTU_211,2.79674085
OTU_875,2.796388721
OTU_144,2.786845976
OTU_111,2.778371829
OTU_2326,2.777997561
OTU_52,2.774977753
OTU_308,2.753203002
OTU_98,2.73996607
OTU_161,2.737514061
OTU_3515,2.725243946
OTU_124,2.709686885
OTU_867,2.680650187
OTU_192,2.664937836
OTU_899,2.649791337
OTU_149,2.647625312
OTU_976,2.636183082
OTU_1413,2.630002294
OTU_2125,2.604571692
OTU_780,2.595667751
OTU_84,2.593660529
OTU_612,2.590919962
OTU_109,2.589574082
OTU_381,2.576690656
OTU_759,2.559283096
OTU_1020,2.538581995
OTU_324,2.527336705
OTU_339,2.524932227
OTU_36,2.510485288
OTU_911,2.506739224
OTU_1602,2.498217462
OTU_215,2.486023809
OTU_7430,2.471858526
OTU_561,2.461737138
OTU_342,2.450248492
OTU_549,2.419811417
OTU_313,2.407069487
OTU_434,2.400556073
OTU_235,2.39126858
OTU_7799,2.378301019
OTU_435,2.372971723
OTU_1255,2.350364642
OTU_1644,2.339088121
OTU_143,2.329718578
OTU_665,2.317354922
OTU_2837,2.312554464
OTU_47,2.308784496
OTU_5292,2.284346827
OTU_479,2.277438944
OTU_4130,2.258268489
OTU_245,2.251940115
OTU_297,2.250803641
OTU_310,2.244965914
OTU_2792,2.23978565
OTU_346,2.228191527
OTU_189,2.216729811
OTU_1307,2.208633954
OTU_7951,2.194083046
OTU_129,2.181034126
OTU_120,2.171353239
OTU_475,2.170898644
OTU_657,2.167641321
OTU_260,2.167595538
OTU_3916,2.147837488
OTU_747,2.137233702
OTU_44,2.13654774
OTU_399,2.132434566
OTU_1027,2.128124496
OTU_234,2.112276474
OTU_889,2.108518079
OTU_446,2.097394205
OTU_1872,2.091452547
OTU_91,2.084583827
OTU_1463,2.083046052
OTU_131,2.075080071
OTU_330,2.069552837
OTU_1495,2.06671085
OTU_1140,2.065577005
OTU_105,2.056160597
OTU_1077,2.046317085
OTU_205,2.044353425
OTU_728,2.030438401
OTU_588,2.019481156
OTU_738,2.015654171
OTU_141,2.00242566
OTU_770,2.001857558
OTU_723,1.997754567
OTU_726,1.990988381
OTU_158,1.981667762
OTU_344,1.977324694
OTU_400,1.972516467
OTU_459,1.971174632
OTU_170,1.970260889
OTU_461,1.964497792
OTU_491,1.962949572
OTU_1424,1.962091429
OTU_5296,1.953686385
OTU_1044,1.947377015
OTU_295,1.946973195
OTU_2362,1.938026763
OTU_320,1.925550061
OTU_137,1.922692813
OTU_7537,1.920311717
OTU_608,1.917917838
OTU_1880,1.91653735
OTU_282,1.915883305
OTU_6901,1.909130941
OTU_617,1.902864239
OTU_218,1.885621002
OTU_450,1.858658118
OTU_936,1.857950478
OTU_541,1.836055086
OTU_405,1.836038357
OTU_6154,1.831612339
OTU_2135,1.829595066
OTU_231,1.825909927
OTU_159,1.821624862
OTU_362,1.817037648
OTU_868,1.808396318
OTU_130,1.797177351
OTU_182,1.796720897
OTU_594,1.79667797
OTU_593,1.794565619
OTU_4672,1.785662203
OTU_1624,1.775624073
OTU_715,1.774397695
OTU_341,1.768319434
OTU_165,1.762291701
OTU_1106,1.747909212
OTU_513,1.746255312
OTU_1094,1.743676942
OTU_169,1.743046124
OTU_2073,1.740968753
OTU_85,1.735089239
OTU_4496,1.732269958
OTU_648,1.728795226
OTU_721,1.72370966
OTU_1022,1.718467073
OTU_366,1.708260323
OTU_2202,1.704227567
OTU_1521,1.703287628
OTU_2345,1.699353083
OTU_416,1.698951767
OTU_2409,1.694654121
OTU_423,1.692566865
OTU_8662,1.679999245
OTU_533,1.67879942
OTU_1333,1.675798634
OTU_490,1.66964682
OTU_200,1.632200945
OTU_284,1.624041429
OTU_389,1.621587349
OTU_1454,1.613265995
OTU_1194,1.610228016
OTU_202,1.609825243
OTU_1016,1.609806974
OTU_210,1.601805208
OTU_3310,1.600803169
OTU_1973,1.598864844
OTU_232,1.596183574
OTU_375,1.593069509
OTU_597,1.578285373
OTU_447,1.571242824
OTU_2282,1.563989283
OTU_2713,1.562378499
OTU_99,1.55687089
OTU_7176,1.556591426
OTU_285,1.55200215
OTU_304,1.551452205
OTU_280,1.542793376
OTU_81,1.527980749
OTU_1950,1.526908722
OTU_5377,1.525115192
OTU_411,1.524274428
OTU_261,1.517319264
OTU_166,1.516819827
OTU_301,1.505640059
OTU_3345,1.502242744
OTU_3433,1.494243946
OTU_7852,1.485445114
OTU_481,1.483498891
OTU_355,1.479335343
OTU_454,1.474564352
OTU_100,1.474191954
OTU_1578,1.471541716
OTU_3437,1.470047644
OTU_4339,1.464334384
OTU_395,1.461283688
OTU_7402,1.459830369
OTU_1301,1.458811681
OTU_1033,1.457047235
OTU_540,1.454935608
OTU_655,1.451688591
OTU_93,1.44920055
OTU_489,1.447712193
OTU_1098,1.443445757
OTU_678,1.442003277
OTU_3033,1.431819046
