OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_1,4.248249067,3.256228051,3.876066983,0.351568303,0.899571102,4.346035015,6.925040371,0.102441523,0.358318947,4.641710708,2.057227504,1.222131412,0.722510725,2.770984265,0.573712175,2.694454617,3.162539097,2.29826912,2.323000324,6.08091225,3.153240026,0.451354062,8.457351158,7.424795845,4.326862998,5.128283915,7.553891023,2.820440229,2.895233692,0.712084684,4.683874249,5.634260327,3.497875123,0.355893977,0.533148925,0.162673421,0.5316777,0.366499746,2.928877707,0.162388536,2.17360819,0.771615116,0.107247171,8.043852192,1.743323976,1.051419568,1.822579546,1.248505959,6.005122854,1.751321329,0,5.920648408,0.126387389,4.906462996,1.58908116,0.003880556,0.00336553,0.01637787,5.495327554,0.186430857,0.138013602,1.804049168,159.6002999
OTU_14,0.825622412,1.408009497,0.045906046,0.072074253,0.009747674,0.601245648,0.205240402,3.752395045,1.109773258,1.934554686,0.030231117,4.244198202,14.99209754,1.488163906,3.696583461,1.485945112,0.368685877,0.422465888,1.083655758,0.152193172,0.432554551,3.114900256,0.282345666,0.084290285,0.339484317,0.427100937,0.122687502,3.117701182,12.24058876,0.035125253,0.079468515,0,0.108394556,10.37886155,0.069153208,11.42199809,8.081501046,10.72041996,0.891243488,0.165237458,0.01963259,0.006595001,0.041073384,0.012851183,2.951126467,0.081810744,5.341691081,1.061025168,0.001807003,0.815193048,0,1.240603961,1.16506193,0.410886064,1.385327809,4.126971808,1.564971561,2.24376822,0.17133308,0,0.389098588,0.010845987,123.0835202
OTU_2,0.132065504,1.686643694,0.01862854,0.010453518,0.060574834,0.506105635,0.126061364,7.212642043,0.549809235,1.039899428,0.064996901,0.169159713,25.15935182,1.182455817,30.49605667,0.600370654,0.012088062,1.889475267,0.78460993,0.102219294,0.034439057,1.170177198,0.574455447,0.317221502,0.747698588,2.54724228,0.082867874,0.382192653,2.518398644,0.031932049,0.669919578,0.006287068,0.06882194,2.096049991,0.060230213,0.223094978,1.128528796,2.024820379,6.752542613,0.007122304,0,0.011871002,0.009127419,0.341050634,0.125242928,0.036360331,0.262315187,0.020831199,0.004517508,0.414315148,0,0.642525655,0.085024243,0.217527916,1.090909091,0.069850016,0.060579544,0.098267221,2.135027359,0.080618749,0.073163837,0.007230658,99.03406673
OTU_15,0.040045669,0.018135954,0.00133061,0.00110037,0.006266362,0,0.012501953,0,0.001450684,0.002441078,0,0.197669777,0.222310992,0.733699414,0.06206385,0.022194849,0.105770538,0.036914495,0.08323956,0.00113577,0,0,0,0.000906347,0,0,0,0,0.003853119,0.001596602,0.030198036,0.004191378,0,0.002069151,0.011153743,0.006971718,0,0.012095701,0,0.001424461,0,0.001319,0,0,0.015835313,0.003030028,0.010220072,0.000341495,0,0.002239541,0,0.043793712,9.18491624,0.217527916,0.001949793,12.94747667,30.9628782,8.917750336,0.008445997,1.67283904,0,0,65.61329554
OTU_51,0.342518276,1.267868036,0.582807188,0.036312219,0.009051412,0.607130597,1.106422879,3.188966669,0.844298087,4.481820068,0.749731699,0.475167734,4.946419577,1.140925661,5.24666596,1.544761461,0.240250223,2.335183615,1.058992185,0.045430798,0.02410734,1.1395297,0.859242142,0.353475388,0.512350564,1.201413428,0.284118426,0.640526577,8.918429469,1.098462472,0.497472901,0.146698242,0.266685019,0.289681144,0.004461497,0.522878855,1.708228999,2.219561168,1.49544633,0.025640295,0.429112326,0.014509002,0.136911281,0.349947607,0.017274887,0.009090083,0.499080194,0.028685585,0.028008547,0.644987906,0,0.494803582,0,0,3.722154521,0.240594501,0,0.029480166,1.278965245,0.002519336,0.335888525,1.001446132,61.72259372
OTU_42,0,0.888661731,0,0.005501851,0.002088787,0.010789074,0.060426108,0,0.013056156,0.012205392,0.323472951,0,0,0,0,0,0,0.001367204,0,2.118210935,2.42588715,0,2.075688167,1.575231345,3.770775191,1.336610847,4.508227596,0.803312336,0.196509074,3.455047659,2.197304428,2.53054467,0.001720549,0.211053405,9.661372357,0,0.054882859,0.019353122,0,0.05128059,0.344972655,0,0.002281855,0.00790842,3.138271072,4.678362573,3.549771752,4.592425639,1.976861326,0.013437248,0.002828374,0.767370416,0,0.048339537,0.000974896,0,0,0,0.002413142,0,0,0,57.43680044
OTU_680,0.057086379,1.142565083,0.012640795,0.007152407,0.0055701,0.392329949,0.036464031,24.52336236,1.639272917,0.945917907,0.060462234,0.030410735,0.560987894,4.240690323,0.065091355,0.840075019,0.178298908,3.159607339,2.249009603,0.093133135,0,0.989078346,0.223760974,0.21933601,1.895280543,1.954217238,0.130220945,0,0.859245559,0.017562627,0.601576655,0.001047845,0.180657594,0.912495603,0,0.020915154,0.45278359,0.516486441,1.226124243,0.001424461,0,0,0,0.852132308,0.008637443,0,0.073243851,0.00068299,0.002258754,0.176923766,0,0.033335512,0.022979525,0.004833954,1.519863515,0.046566678,0.008413826,0.04422025,1.708504516,0.005038672,0.14466486,0.001807664,55.09645038
OTU_213,0.044305847,0.041218077,0.046571351,0.070973883,0.204701164,0.013731548,0,0.017073587,0.017408208,0.113510149,0.004534668,0.057020128,0.896191187,0.123436851,0.476832019,0.035511758,0.146567746,0.042383309,0.094029874,0.00227154,0.004132687,0.027861362,0.004882058,0,0.062481776,0.012290674,0,0.003538821,0.370670057,0.001596602,0.000794685,0,0.008602743,0.004138302,0,0.155701703,0.418481803,0.797106708,0.007087423,0.012820148,0,0.035613005,0.027382256,0,0,0.009090083,0.023846835,0.001024485,0,0.011197707,0.26586718,0.146414798,8.454167337,0.584908397,0.026322203,7.702904597,6.588025443,6.115496741,0.037403701,0.639911319,0.016628145,0.027114967,35.05377964
OTU_877,0,0.047812969,0,0.026408887,0,0.007846599,0,10.08859295,0.0725342,0,0.004534668,0.009503355,0.114629105,0.001153615,0,0,0.022665115,0.006836018,0,0.18626627,0.148087944,0.284185891,0.002441029,0.019939637,0,0.049162698,0,3.326491613,0.024659962,0,0.277345116,0,0,9.309110472,0.017845989,0.306755595,1.128528796,2.409463677,2.450476629,0.72789949,0,0,0,0,0.164111423,0.009090083,0.434353069,0.016391763,0.000903502,0.044790827,0,0.122230211,0,0,0.004874482,0,0.001682765,0,0.000603285,0,0.156304561,0.001807664,32.02832192
OTU_23,0,0,0,0.015405184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794685,0,0.030969873,0.002069151,0,0,0,0,0.012402991,27.74279935,0.008413967,0,0.118656444,0,0.001439574,0,0.006813381,0,0.017166529,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95693113
