Kingdom	Phylum	Class	Sample	Percentage
Bacteria	Acidobacteria	Acidobacteria (class)	S1	0.0744253301295
Bacteria	Acidobacteria	Acidobacteriia	S1	5.29483062921
Bacteria	Acidobacteria	Holophagae	S1	1.41408127246
Bacteria	Acidobacteria	Solibacteres	S1	0.153103536266
Bacteria	Actinobacteria	Actinobacteria (class)	S1	5.55638250367
Bacteria	Bacteroidetes	Bacteroidetes (class)	S1	0
Bacteria	Bacteroidetes	Bacteroidia	S1	0.0276436940481
Bacteria	Bacteroidetes	Cytophagia	S1	0.0404023220703
Bacteria	Bacteroidetes	Flavobacteriia	S1	0.729368235269
Bacteria	Bacteroidetes	Sphingobacteriia	S1	1.01005805176
Bacteria	Chlamydiae	Chlamydiia	S1	0
Bacteria	Chloroflexi	Anaerolineae	S1	0
Bacteria	Chloroflexi	Caldilineae	S1	0.0042528760074
Bacteria	Chloroflexi	Chloroflexi (class)	S1	0.0744253301295
Bacteria	Chloroflexi	Ktedonobacteria	S1	0.0085057520148
Bacteria	Chloroflexi	Thermomicrobia	S1	0.0021264380037
Bacteria	Chrysiogenetes	Chrysiogenetes (class)	S1	0
Bacteria	Cyanobacteria	Cyanobacteria (class)	S1	0.0021264380037
Bacteria	Cyanobacteria	Gloeobacteria	S1	0
Bacteria	Deferribacteres	Deferribacteres (class)	S1	0.574138260999
Bacteria	Deinococcus-Thermus	Deinococci	S1	0.197758734344
Bacteria	Fibrobacteres	Fibrobacteria	S1	0
Bacteria	Firmicutes	Bacilli	S1	30.8928913178
Bacteria	Firmicutes	Clostridia	S1	1.76281710507
Bacteria	Firmicutes	Erysipelotrichia	S1	0.0021264380037
Bacteria	Firmicutes	Negativicutes	S1	0
Bacteria	Fusobacteria	Fusobacteriia	S1	0
Bacteria	Gemmatimonadetes	Gemmatimonadetes (class)	S1	1.07810406788
Bacteria	Ignavibacteriae	Ignavibacteria	S1	0
Bacteria	Lentisphaerae	Lentisphaeria	S1	0
Bacteria	Nitrospirae	Nitrospira (class)	S1	0.278563378485
Bacteria	Planctomycetes	Phycisphaerae	S1	0.0170115040296
Bacteria	Planctomycetes	Planctomycetia	S1	0.352988708614
Bacteria	Proteobacteria	Alphaproteobacteria	S1	24.1053012099
Bacteria	Proteobacteria	Betaproteobacteria	S1	18.8189763327
Bacteria	Proteobacteria	Deltaproteobacteria	S1	0.389138154677
Bacteria	Proteobacteria	Epsilonproteobacteria	S1	0.0085057520148
Bacteria	Proteobacteria	Gammaproteobacteria	S1	2.8154039169
Bacteria	Spirochaetes	Spirochaetia	S1	0.0021264380037
Bacteria	TM7	TM7 (class)	S1	0.021264380037
Bacteria	Tenericutes	Mollicutes	S1	0
Bacteria	Verrucomicrobia	Opitutae	S1	0.0191379420333
Bacteria	Verrucomicrobia	Spartobacteria	S1	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	S1	0.0276436940481
No Hit	No Hit	No Hit	S1	4.24437025539
Bacteria	Acidobacteria	Acidobacteria (class)	S10	0.00737276710482
Bacteria	Acidobacteria	Acidobacteriia	S10	10.9064290529
Bacteria	Acidobacteria	Holophagae	S10	1.74734580384
Bacteria	Acidobacteria	Solibacteres	S10	0.135869565217
Bacteria	Actinobacteria	Actinobacteria (class)	S10	10.9875294911
Bacteria	Bacteroidetes	Bacteroidetes (class)	S10	0.00210650488709
Bacteria	Bacteroidetes	Bacteroidia	S10	0.307549713515
Bacteria	Bacteroidetes	Cytophagia	S10	0.379170879676
Bacteria	Bacteroidetes	Flavobacteriia	S10	1.296553758
Bacteria	Bacteroidetes	Sphingobacteriia	S10	5.44742163802
Bacteria	Chlamydiae	Chlamydiia	S10	0
Bacteria	Chloroflexi	Anaerolineae	S10	0.00210650488709
Bacteria	Chloroflexi	Caldilineae	S10	0.0663549039434
Bacteria	Chloroflexi	Chloroflexi (class)	S10	0.273845635322
Bacteria	Chloroflexi	Ktedonobacteria	S10	0.00421300977418
Bacteria	Chloroflexi	Thermomicrobia	S10	0
Bacteria	Chrysiogenetes	Chrysiogenetes (class)	S10	0
Bacteria	Cyanobacteria	Cyanobacteria (class)	S10	0
Bacteria	Cyanobacteria	Gloeobacteria	S10	0
Bacteria	Deferribacteres	Deferribacteres (class)	S10	0.860507246377
Bacteria	Deinococcus-Thermus	Deinococci	S10	0.104271991911
Bacteria	Fibrobacteres	Fibrobacteria	S10	0
Bacteria	Firmicutes	Bacilli	S10	3.49890461746
Bacteria	Firmicutes	Clostridia	S10	1.65255308392
Bacteria	Firmicutes	Erysipelotrichia	S10	0
Bacteria	Firmicutes	Negativicutes	S10	0
Bacteria	Fusobacteria	Fusobacteriia	S10	0
Bacteria	Gemmatimonadetes	Gemmatimonadetes (class)	S10	2.62259858443
Bacteria	Ignavibacteriae	Ignavibacteria	S10	0
Bacteria	Lentisphaerae	Lentisphaeria	S10	0
Bacteria	Nitrospirae	Nitrospira (class)	S10	0.331774519717
Bacteria	Planctomycetes	Phycisphaerae	S10	0.0126390293225
Bacteria	Planctomycetes	Planctomycetia	S10	0.710945399393
Bacteria	Proteobacteria	Alphaproteobacteria	S10	29.7059319178
Bacteria	Proteobacteria	Betaproteobacteria	S10	17.0321452646
Bacteria	Proteobacteria	Deltaproteobacteria	S10	0.694093360297
Bacteria	Proteobacteria	Epsilonproteobacteria	S10	0.0242248062016
