#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
0	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Nitrosomonadales 	 Nitrosomonadaceae 	 Nitrosovibrio 	 Nitrosovibrio sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Hyphomicrobiaceae 	 Hyphomicrobium 	 Hyphomicrobium sp	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Burkholderiales (family) 	 Methylibium 	 Methylibium fulvum	0	4	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	2	3	0	0	0	0	2	0	0	0	0	0	0
4	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Solirubrobacterales 	 Solirubrobacteraceae 	 Solirubrobacter 	 Solirubrobacter sp	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	36	0	9	0	19	6	28	137	23	8	0	5	20	0	0	1	0	0	1	0	0	0	52	5	19	39	5	0	0	12	0	0	0	0	0	0	0	0	0
5	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhodobacterales 	 Rhodobacteraceae 	 Pannonibacter 	 Pannonibacter sp	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Sphingomonadales 	 Sphingomonadaceae 	 Sphingomonas 	 Sphingomonas sp	1	42	11	0	85	20	27	0	0	0	1	0	0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
8	Bacteria 	 Firmicutes 	 Bacilli 	 Bacillales 	 Bacillaceae 	 Bacillus 	 Bacillus sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Bacteria 	 TM7 	 TM7 (class) 	 TM7 (order) 	 TM7 (family) 	 TM7 (genus) 	 TM7 uncultured	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
